ID,Accel_X_1,Accel_Y_1,Accel_Z_1,Accel_X_2,Accel_Y_2,Accel_Z_2,Accel_X_3,Accel_Y_3,Accel_Z_3,Accel_X_4,Accel_Y_4,Accel_Z_4,Accel_X_5,Accel_Y_5,Accel_Z_5,Accel_X_6,Accel_Y_6,Accel_Z_6,Accel_X_7,Accel_Y_7,Accel_Z_7,Accel_X_8,Accel_Y_8,Accel_Z_8,Accel_X_9,Accel_Y_9,Accel_Z_9,Accel_X_10,Accel_Y_10,Accel_Z_10,Accel_X_11,Accel_Y_11,Accel_Z_11,Accel_X_12,Accel_Y_12,Accel_Z_12,Accel_X_13,Accel_Y_13,Accel_Z_13,Accel_X_14,Accel_Y_14,Accel_Z_14,Accel_X_15,Accel_Y_15,Accel_Z_15,Accel_X_16,Accel_Y_16,Accel_Z_16,Accel_X_17,Accel_Y_17,Accel_Z_17,Accel_X_18,Accel_Y_18,Accel_Z_18,Accel_X_19,Accel_Y_19,Accel_Z_19,Accel_X_20,Accel_Y_20,Accel_Z_20,Accel_X_21,Accel_Y_21,Accel_Z_21,Accel_X_22,Accel_Y_22,Accel_Z_22,Accel_X_23,Accel_Y_23,Accel_Z_23,Accel_X_24,Accel_Y_24,Accel_Z_24,Accel_X_25,Accel_Y_25,Accel_Z_25,Accel_X_26,Accel_Y_26,Accel_Z_26,Accel_X_27,Accel_Y_27,Accel_Z_27,Accel_X_28,Accel_Y_28,Accel_Z_28,Accel_X_29,Accel_Y_29,Accel_Z_29,Accel_X_30,Accel_Y_30,Accel_Z_30,Accel_X_31,Accel_Y_31,Accel_Z_31,Accel_X_32,Accel_Y_32,Accel_Z_32,Accel_X_33,Accel_Y_33,Accel_Z_33,Accel_X_34,Accel_Y_34,Accel_Z_34,Accel_X_35,Accel_Y_35,Accel_Z_35,Accel_X_36,Accel_Y_36,Accel_Z_36,Accel_X_37,Accel_Y_37,Accel_Z_37,Accel_X_38,Accel_Y_38,Accel_Z_38,Accel_X_39,Accel_Y_39,Accel_Z_39,Accel_X_40,Accel_Y_40,Accel_Z_40,Accel_X_41,Accel_Y_41,Accel_Z_41,Accel_X_42,Accel_Y_42,Accel_Z_42,Accel_X_43,Accel_Y_43,Accel_Z_43,Accel_X_44,Accel_Y_44,Accel_Z_44,Accel_X_45,Accel_Y_45,Accel_Z_45,Accel_X_46,Accel_Y_46,Accel_Z_46,Accel_X_47,Accel_Y_47,Accel_Z_47,Accel_X_48,Accel_Y_48,Accel_Z_48,Accel_X_49,Accel_Y_49,Accel_Z_49,Accel_X_50,Accel_Y_50,Accel_Z_50,Activity_Label
1491446060590.0,3.9633484,-2.0570831,7.777664,3.654663,-2.1420288,7.4498596,2.8973389,-0.7697449,7.7824554,4.5794983,0.30462646,8.255035,3.1138916,2.401947,7.9667053,3.769516,3.3279572,8.255035,4.311493,3.4440155,7.5479584,4.800827,3.3590698,9.834305,0.432724,-2.1695557,7.8075867,-0.54473877,-5.385498,6.4101715,-2.7090454,-7.2363434,6.247467,-2.6755524,-7.2495117,6.242676,-0.76368713,-6.4766235,7.320648,-1.1955872,-5.648712,7.0969086,4.4000244,-4.7095337,8.063614,-2.5906067,-0.7470093,8.68335,1.8839722,1.1397247,8.868805,3.2442932,3.0444183,9.105682,2.1962433,2.915207,8.712067,3.859253,3.0838928,8.2921295,3.4393158,2.8805084,8.561325,3.8006287,2.7740173,8.941772,3.5158844,0.32736206,7.763321,1.032135,-1.7005615,8.56012,2.947586,-2.7390442,8.605591,1.7810822,-3.0453186,8.738388,3.1390076,-3.983307,7.2357025,0.3944397,-4.4379425,7.602997,5.598831,-2.3537903,7.8745728,1.6470947,2.1937714,8.725235,2.6963348,3.1377258,8.557724,3.7958374,3.4344482,8.830505,1.8971405,3.109024,8.43689,2.3577576,3.0001526,8.3615265,2.5180817,3.026474,8.471588,2.5850677,3.2214813,8.584045,2.5910645,2.8565826,8.843674,3.7479858,0.91360474,9.005188,3.1557617,-1.5067291,8.1940155,4.829544,-2.12648,7.5814514,2.372116,-3.9151154,7.2309113,1.8468933,-4.0347595,7.5168457,3.2670288,-3.3348541,8.089935,2.3613434,-3.3707428,7.6484528,3.0803833,-2.3202972,7.715454,2.1902618,-1.9254761,7.7537384,6.1132965,1.2246704,7.726227,1.8325348,2.6675415,8.653442,3.982483,4.596161,9.082962,2.7932434,3.6282654,8.29332,2
1491448971290.0,4.50531,1.375412,7.9655,4.065033,1.2545776,9.203796,4.159546,2.0525818,7.189041,4.242111,2.5347443,5.7162476,4.694351,2.2679443,6.7427673,4.7733154,1.9233704,7.67717,4.5507813,1.6817017,8.337585,4.717087,1.6290588,9.346161,4.4789886,1.7164001,11.045074,3.921463,2.246399,10.633499,2.918869,1.8360443,10.058029,3.3651428,4.8689423,2.1988068,2.8638458,6.2579803,2.8305054,2.2787933,6.877716,3.4741821,2.2153778,7.4675446,1.34935,2.2129974,5.829651,1.6137543,4.343796,3.601944,3.0973053,6.225754,2.0095215,4.6586304,10.4036255,1.169632,13.330215,4.9384155,0.5845947,11.408783,2.7035217,1.5859833,8.9166565,3.8771973,2.7859802,6.8815613,4.373703,2.2236786,6.9904327,4.446686,1.9293518,9.224136,4.4766083,2.3385315,7.7609253,4.898941,2.464157,9.727814,2.9942474,1.178009,11.524826,3.3148804,3.3459015,6.8492584,2.9786987,4.979004,7.2237244,0.68995667,6.1766205,6.8372955,0.7940521,5.993561,6.0033875,0.7174835,5.698059,4.3966064,2.2453003,6.2603607,5.417145,2.4139862,5.341522,3.9886322,1.8349304,3.3853912,3.6129608,0.91607666,2.364853,10.053238,-0.51123047,3.0204773,15.184647,-0.71821594,0.95547485,11.339386,1.8002319,2.2846985,7.582657,2.2596436,1.6182861,10.591629,2.372116,1.7810059,8.648651,2.5180817,2.1207886,8.938187,1.6985321,1.753479,9.298309,2.0095978,2.4258728,9.481354,1.4783936,2.5491028,9.976669,1.1051178,2.1746216,12.314468,2.1471863,3.7263641,9.617752,1.5597534,3.7275696,8.022934,3.5039215,6.060562,-0.060028076,4.316284,6.039032,3.2994995,2
1491448979227.0,4.2839813,1.3239746,8.1892395,3.6929474,1.1863861,8.594818,4.0793915,1.645813,8.122238,4.0913544,1.6398315,7.51326,4.060257,1.4136963,8.213165,4.417984,1.5608673,7.757324,4.4873657,1.4412231,8.04686,4.327057,1.3455048,8.475174,4.8522797,1.4627533,9.695511,2.7166748,0.98179626,10.711273,0.7557678,2.2691345,10.809372,1.361145,3.5337372,7.3182526,2.3003235,3.0635529,5.898102,3.5086975,6.253189,1.2584229,2.9212646,7.3598633,2.8293152,2.2381134,6.4278564,3.519638,3.0935516,5.410919,1.9678955,3.2957458,3.7981567,3.4622192,4.159546,3.1473083,6.4400787,6.3023224,3.8747253,9.390427,6.510498,0.69944763,13.519241,3.3842773,0.41230774,8.680954,4.3749084,1.9185944,7.011963,5.0401154,1.9102173,7.0382843,5.0377197,1.831253,8.37587,3.9932556,1.974823,8.594818,4.640503,2.4318542,10.1992035,2.100525,3.0862885,10.894318,1.9868622,3.910614,8.840088,2.3948517,4.3484955,5.1407776,3.756363,6.0330505,2.6211395,1.7619476,7.748703,3.2863464,-0.93356323,6.828659,6.8349,1.9282379,6.971039,4.0388794,4.964737,7.3359375,0.9856415,2.248886,4.5626526,1.6173553,2.2416992,4.135544,2.1509552,5.893158,1.5309448,10.944565,7.8803864,0.096450806,15.884552,4.4766083,0.9758148,7.3385925,4.697937,1.3969574,7.5898285,4.2145844,1.748703,6.7559357,4.6500854,1.4591675,7.3840485,5.938614,1.625473,8.655838,4.5400085,1.4926605,10.72084,4.2971344,2.39357,11.688736,4.9886627,4.1259613,6.1218414,4.727844,4.641617,2.4596252,2.823166,5.915802,1.707077,3.206009,6.224472,2.7144623,2
1491448987288.0,6.149185,-0.39886475,6.560913,5.610794,-0.21939087,6.922241,5.4181824,-0.26367188,6.6111755,6.086975,-0.23735046,6.6434784,6.4913635,-0.20144653,6.909073,5.013794,-0.16316223,6.8923187,5.4432983,-0.116500854,7.217743,5.774704,-0.22059631,7.970291,5.5437927,-0.31391907,9.634506,4.583084,0.05218506,10.0759735,5.2793884,-0.5304718,11.277176,5.6203766,0.47691345,8.034897,2.3003235,5.205124,2.162918,1.2163849,6.1598663,2.8963165,2.9045105,6.890869,4.004196,3.111496,7.201935,4.111862,2.6831818,6.601349,3.5387878,2.556366,5.2111206,2.1270142,2.9607544,3.146103,3.8103638,5.22316,0.2029419,11.773682,8.86145,0.030654907,14.019348,5.4839783,-0.20982361,8.566101,5.2506866,1.2581635,5.70549,5.9003296,1.0224762,6.4388885,5.425354,0.622879,7.3433685,5.5832825,0.9710388,7.4821625,5.4696198,0.66355896,9.830719,5.5342255,1.0595703,13.679565,3.3268433,3.643814,7.509674,-0.17025757,5.245804,4.1250305,1.3946533,7.272537,1.1962128,2.198639,7.5907745,3.670395,1.4293365,7.6601715,4.361923,1.4054108,8.197357,3.3581238,2.2333374,7.5489044,2.1066742,2.2847748,5.2027435,2.5888367,3.6893616,5.130951,2.0265198,4.8594513,3.0420227,11.78685,3.0349274,1.0691376,12.702103,1.7978363,1.390976,9.461029,3.1366272,2.879303,7.118454,3.8568573,2.5742188,7.9236298,3.5493774,2.3205872,8.664215,2.802826,2.3504944,8.530212,2.9739075,2.357666,9.035095,2.7944489,2.1494904,11.566711,2.9499817,2.480896,11.121643,3.9932556,3.3112183,7.0047913,5.249481,5.615494,4.2362976,2.2907562,6.339325,3.2001953,2
1491448995991.0,5.169327,1.1564789,7.173477,5.3894653,1.2557831,6.419739,5.968521,1.350296,5.130005,5.474411,0.053390503,7.500107,6.7545624,0.3441162,8.471588,5.7483826,-0.48020935,9.049454,5.4612427,-0.54122925,10.487549,5.3822784,0.79037476,9.967102,5.4564667,3.0300598,8.947754,3.3830872,3.3853912,4.6275177,3.4381104,6.1861877,-0.73480225,1.135025,7.7678375,2.7108612,0.94599915,7.169632,4.206375,2.836319,7.8767242,2.351944,2.9356232,5.894272,0.9342041,2.630539,4.2420197,2.4823608,6.041504,2.8493958,8.49791,5.753174,3.5050354,10.836899,5.9864655,2.9259644,8.237091,5.170517,1.3802032,8.908279,5.474411,1.8444061,7.340973,5.681381,1.905426,6.699707,5.450485,1.773819,7.649658,4.9994354,1.7606659,11.765305,4.9180756,3.1568756,8.505081,5.178894,4.0266724,8.336395,5.3356323,4.2731323,2.7048798,0.38368225,6.5558777,-2.5617218,1.0393066,7.051193,5.6420746,2.9332275,6.9734344,5.577469,3.9358215,7.8288574,1.5144501,2.1471863,5.1249695,1.9104614,2.8925476,3.4081268,2.931015,3.9932556,0.93992615,11.661224,8.8459015,2.7082214,13.640091,4.738617,0.99256897,7.5407867,4.6309357,1.7893829,7.1495514,4.583084,1.395752,9.203796,4.23851,3.0001526,9.315063,4.672806,3.9477081,7.751343,5.8010254,4.2862854,9.025528,3.3112946,5.561661,1.9104614,-0.103256226,6.6874847,2.022934,0.9747009,7.848007,4.1669006,2.4307404,8.010712,3.0949097,2.3745117,7.782196,3.3353882,2.4163818,6.935135,3.7481537,3.8317413,5.250595,2.7395782,5.4887695,3.4045258,4.451645,4.7697296,1.822876,7.2357025,2
1491449005974.0,5.7519836,1.026062,6.3611145,4.9707184,0.42666626,6.50589,5.516281,0.8274689,7.0311127,5.869217,0.34172058,7.2524414,6.280792,0.32496643,7.3876343,6.1790924,0.05937195,9.627319,5.3739166,0.047409058,11.625336,5.148987,1.8037415,10.205185,3.4548645,3.348297,6.34317,2.959549,4.3604584,1.2871399,3.2311401,6.9985504,0.8002014,2.306305,6.7066345,4.085541,3.1174774,6.5020447,1.8853455,2.684372,5.6334534,1.9344025,4.0052185,4.559067,3.8295135,4.9372253,3.0252686,3.7290192,7.5848846,1.5177917,8.14975,9.280197,1.280899,8.968094,7.9378204,0.5546875,7.6604156,6.596649,0.5355377,5.5702972,6.724655,1.1026306,5.6576233,5.8620453,-0.26486206,8.496719,7.8839874,1.4627533,7.924835,7.833725,1.7546844,11.283157,6.5571594,2.6926727,4.755539,3.3639374,4.4071198,1.9511414,1.9091034,6.2843018,-1.8666077,3.0648346,7.217499,2.5110626,2.8351288,7.0559845,4.2925262,3.4393158,7.009323,1.5970154,3.7408142,5.8224792,-0.3160553,1.911499,2.5742188,3.3126678,8.8423,-0.33544922,18.824142,7.1457977,2.2643585,8.913071,5.568924,2.4031372,5.400406,5.5617523,2.2858887,6.235489,5.3128967,1.5453033,9.078171,5.2171783,2.8230743,8.800598,4.85347,3.120987,10.232712,6.477005,4.207321,8.470398,1.7200623,4.425064,2.6713867,1.8361206,6.5223846,1.4582214,1.5920563,7.7391357,2.9034882,2.289566,7.300049,4.6921234,2.9559631,7.5453186,1.7094727,2.7920532,6.7389374,2.8137665,2.150772,4.8127136,4.0352936,3.5493774,2.727356,10.180069,5.376297,3.4655457,10.4049835,6.316681,2.1303558,8.689331,2
1491449014094.0,3.4787903,0.8477936,8.221542,3.5780945,0.76524353,8.430908,3.0839844,0.91360474,8.04686,3.6809845,0.8645477,8.010971,4.2564545,0.92437744,8.152145,4.4000244,0.70661926,8.426132,4.593857,0.38000488,8.846069,4.6835785,0.3991394,10.623932,4.529251,0.46376038,11.886139,4.6704254,2.66156,9.094925,3.2646332,4.909622,3.5411835,4.2313385,5.1668396,-0.22273254,2.782486,7.2521973,2.1617126,1.8385162,7.3024445,5.084549,2.3254547,7.477112,4.1214447,2.713089,6.9626617,2.4285126,2.7298431,6.140732,2.6905365,4.2564545,4.904831,3.3198395,3.276596,3.581604,5.667206,5.3380127,1.8994446,10.611969,6.588272,0.86335754,9.907288,5.9314423,0.077316284,8.454834,6.5703278,0.95069885,6.441284,5.647888,0.95188904,7.1591187,5.137024,1.0846863,8.871185,5.322464,1.8300476,9.946762,4.4825897,2.4940643,9.388046,0.63253784,5.883499,4.286545,1.2187805,6.285492,6.5740814,3.6773987,6.5953674,2.0552368,3.6570587,6.713806,3.0075836,2.6066132,6.705429,4.5856476,3.037323,6.3572693,2.4225311,4.130844,5.5030365,-0.48355103,5.979294,3.4081268,4.103485,7.6829834,2.464157,8.726425,6.5356293,0.56544495,9.347366,7.212799,0.5594635,9.365311,6.2293396,0.65397644,7.135193,6.0678253,0.90522766,6.334793,5.956558,0.7604675,7.69751,6.900528,1.5632477,12.070389,2.3493805,1.9102173,8.801804,2.5025177,2.8194885,7.016754,3.6439056,4.577011,5.035492,1.3312378,6.6037292,2.758728,0.01159668,7.6482086,2.9609222,2.7609406,7.5991516,4.8943176,2.650879,6.4039307,6.01297,2.0765991,7.289276,4.964905,2
1491449022613.0,4.431137,-0.3366394,7.464203,4.1116943,-0.64772034,7.722641,4.5017242,-0.5579834,7.857834,4.5902557,-0.7003479,8.050446,4.5890656,-0.73983765,8.219147,4.8570557,-0.49577332,8.209579,4.965927,-0.359375,9.431107,4.5926514,0.6731262,9.271988,3.3615417,0.93992615,10.9062805,3.3902588,2.5407257,9.941986,2.5025177,4.410721,3.757721,3.1282501,6.084488,1.912857,2.218979,7.0523834,2.0731812,1.9701233,6.4481964,5.088135,2.4833832,7.3814087,4.6885376,2.4558563,7.349106,4.6382904,2.667633,7.3766174,4.3320007,2.3134918,6.8669434,5.3668976,2.8099976,6.1479034,4.2985077,4.7206726,6.0485992,2.4907227,3.9525757,4.1965637,7.222534,4.7087097,4.136734,7.726227,5.1812897,2.4306488,8.228714,5.482788,0.91241455,8.127029,6.058258,-0.008834839,7.957138,5.9111023,0.15866089,7.4534454,5.53183,0.1574707,7.2165527,5.5390167,0.23284912,7.1327972,5.207611,0.3560791,7.007187,5.5665283,0.53793335,7.439087,5.803421,0.66833496,8.491928,5.268631,1.2629547,9.350952,3.428543,2.4210815,10.503098,1.1182709,4.465744,6.7595215,2.5707245,5.1488953,6.5214386,3.6630402,6.2184906,3.5746765,3.1509705,6.898056,2.667801,2.8865662,6.902832,4.4994965,2.775299,7.296463,4.458832,3.008606,6.4721375,4.0723877,3.2742157,5.760269,3.5507507,3.9489899,5.4013367,4.2686005,3.2419128,2.4725342,6.5130615,4.60701,1.5357361,8.1689,7.032135,-0.14761353,10.180069,5.926651,-0.7841034,8.785049,5.528244,-0.3976593,7.84227,5.5210724,0.06295776,6.54776,6.0068054,0.10722351,6.4089813,5.824951,0.13594055,6.8289185,2
1491449039214.0,3.572113,1.7678375,8.718048,3.3519745,1.8659515,8.405792,2.8470917,1.5524902,8.526627,3.1282501,1.822876,8.411774,3.6893616,2.2823029,8.040878,4.0506744,2.0621643,8.130615,3.3435974,1.2892761,10.611969,3.4728088,1.8348389,12.015366,2.6484833,3.1150055,11.055832,2.5790863,4.0147095,8.314865,4.7769012,4.7134094,4.192032,1.2534637,6.1802063,-0.48236084,0.39564514,7.8994446,2.7348022,0.28677368,8.180603,4.294922,1.6757965,8.27153,2.9238281,1.882782,7.3849945,1.7046814,0.38128662,5.171631,3.7589264,3.378296,5.455185,4.839279,3.9633484,3.7144012,8.211975,4.52565,3.211914,10.934998,2.466629,0.80114746,11.697113,3.3986359,1.8647461,8.56012,4.5603485,2.751297,7.8207397,3.7910614,2.4127045,8.27298,3.4680328,2.29187,9.904892,5.20282,3.75029,14.1689,2.3529663,4.330551,7.8027954,1.936615,5.364258,2.9393768,1.9138947,6.835846,1.5479584,0.6911621,7.7307587,3.1834564,0.54519653,7.748703,4.546158,0.34779358,7.5513,4.311661,2.108902,7.4496,0.21395874,4.1164856,6.1275635,1.0945129,1.1948395,1.3586731,8.963318,4.6428986,2.88768,5.327423,8.068222,1.3155975,17.183853,3.0038147,1.0870819,6.929413,3.7431946,2.6807098,7.4139557,4.269623,2.7213745,7.6807556,3.7180786,2.1973572,6.9306183,4.8032227,3.7167969,8.105484,3.6726074,2.3265686,17.281967,4.522064,4.864151,6.4221344,2.7585602,3.4356384,3.7074738,3.2179718,6.528366,-0.73957825,1.4173737,7.338333,1.6424713,1.759552,8.295456,4.0640106,2.1220703,7.5369415,3.288742,2.7645416,6.988983,2.5361938,2
1491449048049.0,3.7743073,1.4005432,8.17009,3.3316345,1.0523834,8.208374,3.4094086,1.0775146,8.307678,3.7324371,1.6206818,8.001404,3.95018,1.7845917,8.052841,4.2636414,1.5859833,8.43689,4.7661285,1.4220734,11.317856,4.328247,2.3277588,13.324234,4.102127,4.0781097,7.3517456,3.028946,5.2781067,2.04805,3.2251587,6.8250732,-0.8556366,-0.51960754,8.141129,1.5850525,0.20780945,8.199753,3.231308,2.6772003,7.596756,-0.42611694,4.3749084,7.3933716,1.1220398,-3.1792297,2.5347443,9.457428,1.8923492,2.1195831,7.229721,5.158554,1.5788116,15.423935,3.4955444,2.550293,5.922043,3.7479858,3.1353455,6.255829,3.7539673,2.4653473,7.735794,4.233734,3.1508942,8.823334,3.9095001,2.2978516,13.017944,3.9944458,2.8888855,13.136398,2.3649292,4.661957,3.7110748,1.6219635,6.531952,1.0035858,0.5416107,7.925766,1.0131531,1.7200623,9.109024,3.7888336,0.4781952,7.934143,4.243469,2.272812,7.8539886,0.63031006,1.3252563,6.274719,-1.4981079,1.065628,3.3841858,2.7946167,10.444305,2.0848846,9.689529,6.0845795,-1.1741333,14.058823,5.1896667,1.1409149,8.348358,4.985077,1.5919647,7.2033997,4.748184,1.885086,6.11705,5.145401,2.1961517,7.3625183,4.800827,1.748703,12.826523,4.7733154,3.21669,11.41954,1.7224579,4.9203796,3.0650024,2.5587616,5.639435,0.6351013,2.5850677,8.028656,0.12661743,0.61457825,7.6326447,4.320038,1.1445923,8.367249,4.2075806,1.6757965,8.093262,2.6450653,2.7406158,7.186386,0.6243286,1.9557648,5.2350464,2.791031,3.2072144,4.5530853,5.7856445,3.2395172,1.9736176,10.998413,2
